28 	 	 1,162,590 	 	 151,797 	 	 211.58 	 	 47.83Min
29 	 	 1,314,387 	 	 165,463 	 	 217.36 	 	 50.75Min
30 	 	 1,479,850 	 	 179,842 	 	 223.05 	 	 53.75Min
31 	 	 1,659,692 	 	 194,945 	 	 228.65 	 	 56.84Min
32 	 	 1,854,637 	 	 210,786 	 	 234.17 	 	 60.01Min
33 	 	 2,065,423 	 	 227,374 	 	 239.59 	 	 63.27Min
34 	 	 2,292,797 	 	 244,722 	 	 244.94 	 	 66.61Min
35 	 	 2,537,519 	 	 262,840 	 	 250.20 	 	 70.03Min
36 	 	 2,800,359 	 	 281,742 	 	 255.39 	 	 73.55Min
37 	 	 3,082,101 	 	 301,436 	 	 260.49 	 	 77.14Min
38 	 	 3,383,537 	 	 321,933 	 	 265.53 	 	 80.83Min
39 	 	 3,705,470 	 	 343,245 	 	 270.48 	 	 84.60Min
40 	 	 4,048,715 	 	 365,382 	 	 275.37 	 	 88.46Min
41 	 	 4,414,097 	 	 388,354 	 	 280.18 	 	 92.41Min
42 	 	 4,802,451 	 	 412,171 	 	 284.92 	 	 96.44Min
43 	 	 5,214,622 	 	 436,845 	 	 289.60 	 	 100.56Min
44 	 	 5,651,467 	 	 462,384 	 	 294.21 	 	 104.77Min
45 	 	 6,113,851 	 	 488,798 	 	 298.75 	 	 109.08Min
46 	 	 6,602,649 	 	 516,097 	 	 303.23 	 	 113.47Min
47 	 	 7,118,746 	 	 544,292 	 	 307.65 	 	 117.95Min
48 	 	 7,663,038 	 	 573,391 	 	 312.01 	 	 122.52Min
49 	 	 8,236,429 	 	 603,406 	 	 316.31 	 	 127.18Min
50 	 	 8,839,835 	 	 634,341 	 	 320.55 	 	 131.93Min
51 	 	 9,474,176 	 	 666,211 	 	 324.73 	 	 136.77Min
52 	 	 10,140,387 	 	 699,022 	 	 328.85 	 	 141.71Min
53 	 	 10,839,409 	 	 732,784 	 	 332.92 	 	 146.74Min
54 	 	 11,572,193 	 	 767,507 	 	 336.94 	 	 151.86Min
55 	 	 12,339,700 	 	 803,198 	 	 340.90 	 	 157.07Min
56 	 	 13,142,898 	 	 839,866 	 	 344.81 	 	 162.38Min
57 	 	 13,982,764 	 	 877,523 	 	 348.67 	 	 167.78Min
58 	 	 14,860,287 	 	 916,173 	 	 352.48 	 	 173.28Min
59 	 	 15,776,460 	 	 955,828 	 	 356.24 	 	 178.87Min
60 	 	 16,732,288 	 	 996,495 	 	 359.96 	 	 184.56Min
61 	 	 17,728,783 	 	 1,038,182 	 	 363.62 	 	 190.34Min
62 	 	 18,766,965 	 	 1,080,901 	 	 367.24 	 	 196.22Min
63 	 	 19,847,866 	 	 1,124,653 	 	 370.82 	 	 202.19Min
64 	 	 20,972,519 	 	 1,169,455 	 	 374.35 	 	 208.27Min
65 	 	 22,141,974 	 	 1,215,312 	 	 377.83 	 	 214.44Min
66 	 	 23,357,286 	 	 1,262,225 	 	 381.28 	 	 220.70Min
67 	 	 24,619,511 	 	 1,310,217 	 	 384.68 	 	 227.07Min
68 	 	 25,929,728 	 	 1,359,276 	 	 388.04 	 	 233.53Min
69 	 	 27,289,004 	 	 1,409,433 	 	 391.36 	 	 240.09Min
70 	 	 28,698,437 	 	 1,460,679 	 	 394.64 	 	 246.75Min
71 	 	 30,159,116 	 	 1,513,024 	 	 397.88 	 	 253.52Min
72 	 	 31,672,140 	 	 1,566,487 	 	 401.08 	 	 260.38Min
73 	 	 33,238,627 	 	 1,621,059 	 	 404.24 	 	 267.34Min
74 	 	 34,859,686 	 	 1,676,760 	 	 407.37 	 	 274.40Min
75 	 	 36,536,446 	 	 1,733,594 	 	 410.46 	 	 281.57Min
76 	 	 38,270,040 	 	 1,791,566 	 	 413.52 	 	 288.83Min
77 	 	 40,061,606 	 	 1,850,694 	 	 416.54 	 	 296.20Min
78 	 	 41,912,300 	 	 1,910,964 	 	 419.52 	 	 303.67Min
79 	 	 43,823,264 	 	 1,972,410 	 	 422.47 	 	 311.25Min
80 	 	 45,795,674 	 	 2,035,016 	 	 425.39 	 	 318.93Min
81 	 	 47,830,690 	 	 2,098,802 	 	 428.27 	 	 326.71Min
82 	 	 49,929,492 	 	 2,163,781 	 	 431.13 	 	 334.59Min
83 	 	 52,093,273 	 	 2,229,943 	 	 433.95 	 	 342.58Min
84 	 	 54,323,216 	 	 2,297,309 	 	 436.74 	 	 350.68Min
85 	 	 56,620,525 	 	 2,365,882 	 	 439.49 	 	 358.88Min
86 	 	 58,986,407 	 	 2,435,665 	 	 442.22 	 	 367.19Min
87 	 	 61,422,072 	 	 2,506,662 	 	 444.92 	 	 375.60Min
88 	 	 63,928,734 	 	 2,578,909 	 	 447.59 	 	 384.12Min
89 	 	 66,507,643 	 	 2,652,367 	 	 450.23 	 	 392.74Min
90 	 	 69,160,010 	 	 2,727,084 	 	 452.84 	 	 401.48Min
91 	 	 71,887,094 	 	 2,803,039 	 	 455.43 	 	 410.32Min
92 	 	 74,690,133 	 	 2,880,248 	 	 457.98 	 	 419.27Min
93 	 	 77,570,381 	 	 2,958,726 	 	 460.51 	 	 428.32Min
94 	 	 80,529,107 	 	 3,038,469 	 	 463.01 	 	 437.49Min
95 	 	 83,567,576 	 	 3,119,494 	 	 465.49 	 	 446.77Min
96 	 	 86,687,070 	 	 3,201,801 	 	 467.94 	 	 456.15Min
97 	 	 89,888,871 	 	 3,285,383 	 	 470.37 	 	 465.65Min
98 	 	 93,174,254 	 	 3,370,278 	 	 472.77 	 	 475.25Min
99 	 	 96,544,532 	 	 3,456,464 	 	 475.14 	 	 484.97Min
100 	 	 100,000,996 	 	 3,543,966 	 	 477.50 	 	 494.80Min
101 	 	 103,544,962 	 	 3,632,789 	 	 479.82 	 	 504.74Min
102 	 	 107,177,751 	 	 3,722,925 	 	 482.13 	 	 514.79Min
103 	 	 110,900,676 	 	 3,814,394 	 	 484.41 	 	 524.95Min
104 	 	 114,715,070 	 	 3,907,190 	 	 486.67 	 	 535.23Min
105 	 	 118,622,260 	 	 4,001,347 	 	 488.90 	 	 545.62Min
106 	 	 122,623,607 	 	 4,096,821 	 	 491.12 	 	 556.12Min
107 	 	 126,720,428 	 	 4,193,681 	 	 493.31 	 	 566.74Min
108 	 	 130,914,109 	 	 4,291,891 	 	 495.48 	 	 577.47Min
109 	 	 135,206,000 	 	 4,391,465 	 	 497.63 	 	 588.32Min
110 	 	 139,597,465 	 	 4,492,402 	 	 499.76 	 	 599.28Min
111 	 	 144,089,867 	 	 4,594,741 	 	 501.87 	 	 610.36Min
112 	 	 148,684,608 	 	 4,698,448 	 	 503.95 	 	 621.55Min
113 	 	 153,383,056 	 	 4,803,566 	 	 506.02 	 	 632.86Min
114 	 	 158,186,622 	 	 4,910,058 	 	 508.07 	 	 644.28Min
115 	 	 163,096,680 	 	 5,017,963 	 	 510.10 	 	 655.82Min
116 	 	 168,114,643 	 	 5,127,293 	 	 512.11 	 	 667.48Min
117 	 	 173,241,936 	 	 5,238,023 	 	 514.10 	 	 679.25Min
118 	 	 178,479,959 	 	 5,350,192 	 	 516.07 	 	 691.15Min
119 	 	 183,830,151 	 	 5,463,771 	 	 518.02 	 	 703.16Min
120 	 	 189,293,922 	 	 5,578,794 	 	 519.96 	 	 715.29Min
121 	 	 194,872,716 	 	 5,695,250 	 	 521.87 	 	 727.54Min
122 	 	 200,567,966 	 	 5,813,174 	 	 523.77 	 	 739.91Min
123 	 	 206,381,140 	 	 5,932,532 	 	 525.66 	 	 752.40Min
124 	 	 212,313,672 	 	 6,053,352 	 	 527.52 	 	 765.01Min
125 	 	 218,367,024 	 	 6,175,640 	 	 529.37 	 	 777.74Min
126 	 	 224,542,664 	 	 6,299,369 	 	 531.20 	 	 790.58Min
127 	 	 230,842,033 	 	 6,424,645 	 	 533.02 	 	 803.56Min
128 	 	 237,266,678 	 	 6,551,313 	 	 534.81 	 	 816.65Min
129 	 	 243,817,991 	 	 6,679,559 	 	 536.60 	 	 829.87Min
130 	 	 250,497,550 	 	 6,809,211 	 	 538.36 	 	 843.20Min
131 	 	 257,306,761 	 	 6,940,454 	 	 540.12 	 	 856.66Min
132 	 	 264,247,215 	 	 7,073,105 	 	 541.85 	 	 870.24Min
133 	 	 271,320,320 	 	 7,207,357 	 	 543.57 	 	 883.95Min
134 	 	 278,527,677 	 	 7,343,070 	 	 545.28 	 	 897.78Min
135 	 	 285,870,747 	 	 7,480,306 	 	 546.97 	 	 911.73Min
136 	 	 293,351,053 	 	 7,619,106 	 	 548.65 	 	 925.81Min
137 	 	 300,970,159 	 	 7,759,400 	 	 550.31 	 	 940.01Min
138 	 	 308,729,559 	 	 7,901,262 	 	 551.95 	 	 954.34Min
139 	 	 316,630,821 	 	 8,044,622 	 	 553.59 	 	 968.79Min
140 	 	 324,675,443 	 	 8,189,603 	 	 555.21 	 	 983.37Min
141 	 	 332,865,046 	 	 8,336,093 	 	 556.81 	 	 998.07Min
142 	 	 341,201,139 	 	 8,484,165 	 	 558.41 	 	 1012.90Min
143 	 	 349,685,304 	 	 8,633,780 	 	 559.99 	 	 1027.86Min
144 	 	 358,319,084 	 	 8,784,970 	 	 561.55 	 	 1042.94Min
145 	 	 367,104,054 	 	 8,937,756 	 	 563.10 	 	 1058.15Min
146 	 	 376,041,810 	 	 9,092,137 	 	 564.64 	 	 1073.50Min
147 	 	 385,133,947 	 	 9,248,054 	 	 566.17 	 	 1088.96Min
148 	 	 394,382,001 	 	 9,405,654 	 	 567.69 	 	 1104.56Min
149 	 	 403,787,655 	 	 9,564,727 	 	 569.19 	 	 1120.28Min
150 	 	 413,352,382
Totalhours: 951.80
